t;T;T
[s];[°C];[°C]

634,0;187,3;187,3
635,0;187,3;187,3
636,0;187,3;187,3
637,0;187,3;187,3
638,0;186,9;186,9
639,0;186,9;186,9
640,0;186,9;186,9
641,0;186,9;186,9
642,0;186,6;186,6
643,0;186,6;186,6
644,0;186,2;186,2
645,0;186,2;186,2
646,0;185,9;185,9
647,0;185,9;185,9
648,0;185,9;185,9
649,0;185,9;185,9
650,0;185,5;185,5
651,0;185,5;185,5
652,0;185,1;185,1
653,0;185,1;185,1
654,0;185,1;185,1
655,0;185,1;185,1
656,0;184,8;184,8
657,0;184,8;184,8
658,0;184,8;184,8
659,0;184,8;184,8
660,0;184,1;184,1
661,0;184,1;184,1
662,0;184,0;184,0
663,0;184,0;184,0
664,0;183,7;183,7
665,0;183,7;183,7
666,0;183,7;183,7
667,0;183,7;183,7
668,0;183,3;183,3
669,0;183,3;183,3
670,0;183,3;183,3
671,0;183,3;183,3
672,0;183,0;183,0
673,0;183,0;183,0
674,0;183,0;183,0
675,0;183,0;183,0
676,0;182,3;182,3
677,0;182,3;182,3
678,0;182,3;182,3
679,0;182,3;182,3
680,0;181,9;181,9
681,0;181,9;181,9
682,0;181,9;181,9
683,0;181,9;181,9
684,0;182,3;182,3
685,0;182,3;182,3
686,0;181,5;181,5
687,0;181,5;181,5
688,0;180,8;180,8
689,0;180,8;180,8
690,0;180,8;180,8
691,0;180,8;180,8
692,0;180,4;180,4
693,0;180,4;180,4
694,0;179,7;179,7
695,0;179,7;179,7
696,0;179,7;179,7
697,0;179,7;179,7
698,0;179,7;179,7
699,0;179,7;179,7
700,0;179,7;179,7
701,0;179,7;179,7
702,0;179,4;179,4
703,0;179,4;179,4
704,0;179,4;179,4
705,0;179,4;179,4
706,0;179,0;179,0
707,0;179,0;179,0
708,0;178,6;178,6
709,0;178,6;178,6
710,0;179,4;179,4
711,0;179,4;179,4
712,0;178,6;178,6
713,0;178,6;178,6
714,0;178,3;178,3
715,0;178,3;178,3
716,0;177,9;177,9
717,0;177,9;177,9
718,0;177,6;177,6
719,0;177,6;177,6
720,0;177,6;177,6
721,0;177,6;177,6
722,0;177,2;177,2
723,0;177,2;177,2
724,0;176,8;176,8
725,0;176,8;176,8
726,0;176,5;176,5
727,0;176,5;176,5
728,0;176,5;176,5
729,0;176,5;176,5
730,0;176,1;176,1
731,0;176,1;176,1
732,0;176,1;176,1
733,0;176,1;176,1
734,0;176,1;176,1
735,0;176,1;176,1
736,0;175,8;175,8
737,0;175,8;175,8
738,0;175,8;175,8
739,0;175,8;175,8
740,0;175,8;175,8
741,0;175,8;175,8
742,0;175,4;175,4
743,0;175,4;175,4
744,0;175,4;175,4
745,0;175,4;175,4
746,0;175,0;175,0
747,0;175,0;175,0
748,0;174,7;174,7
749,0;174,7;174,7
750,0;174,3;174,3
751,0;174,3;174,3
752,0;174,3;174,3
753,0;174,3;174,3
754,0;174,0;174,0
755,0;174,0;174,0
756,0;174,0;174,0
757,0;174,0;174,0
758,0;173,2;173,2
759,0;173,2;173,2
760,0;173,2;173,2
761,0;173,2;173,2
762,0;173,2;173,2
763,0;173,2;173,2
764,0;173,2;173,2
765,0;173,2;173,2
766,0;172,5;172,5
767,0;172,5;172,5
768,0;172,5;172,5
769,0;172,5;172,5
770,0;172,5;172,5
771,0;172,5;172,5
772,0;171,8;171,8
773,0;171,8;171,8
774,0;172,2;172,2
775,0;172,2;172,2
776,0;171,4;171,4
777,0;171,4;171,4
778,0;171,4;171,4
779,0;171,4;171,4
780,0;171,4;171,4
781,0;171,4;171,4
782,0;171,1;171,1
783,0;171,1;171,1
784,0;170,7;170,7
785,0;170,7;170,7
786,0;170,7;170,7
787,0;170,7;170,7
788,0;170,4;170,4
789,0;170,4;170,4
790,0;170,4;170,4
791,0;170,4;170,4
792,0;170,4;170,4
793,0;170,4;170,4
794,0;169,6;169,6
795,0;169,6;169,6
796,0;169,3;169,3
797,0;169,3;169,3
798,0;168,9;168,9
799,0;168,9;168,9
800,0;168,9;168,9
801,0;168,9;168,9
802,0;168,9;168,9
803,0;168,9;168,9
804,0;168,9;168,9
805,0;168,9;168,9
806,0;168,6;168,6
807,0;168,6;168,6
808,0;168,6;168,6
809,0;168,6;168,6
810,0;168,2;168,2
811,0;168,2;168,2
812,0;167,8;167,8
813,0;167,8;167,8
814,0;167,8;167,8
815,0;167,8;167,8
816,0;167,5;167,5
817,0;167,5;167,5
818,0;167,5;167,5
819,0;167,5;167,5
820,0;167,1;167,1
821,0;167,1;167,1
822,0;167,1;167,1
823,0;167,1;167,1
824,0;166,8;166,8
825,0;166,8;166,8
826,0;167,1;167,1
827,0;167,1;167,1
828,0;166,8;166,8
829,0;166,8;166,8
830,0;166,0;166,0
831,0;166,0;166,0
832,0;165,7;165,7
833,0;165,7;165,7
834,0;165,7;165,7
835,0;165,7;165,7
836,0;165,7;165,7
837,0;165,7;165,7
838,0;165,3;165,3
839,0;165,3;165,3
840,0;165,3;165,3
841,0;165,3;165,3
842,0;165,0;165,0
843,0;165,0;165,0
844,0;165,0;165,0
845,0;165,0;165,0
846,0;164,6;164,6
847,0;164,6;164,6
848,0;164,2;164,2
849,0;164,2;164,2
850,0;164,2;164,2
851,0;164,2;164,2
852,0;163,9;163,9
853,0;163,9;163,9
854,0;163,9;163,9
855,0;163,9;163,9
856,0;163,5;163,5
857,0;163,5;163,5
858,0;163,9;163,9
859,0;163,9;163,9
860,0;163,2;163,2
861,0;163,2;163,2
862,0;163,2;163,2
863,0;163,2;163,2
864,0;163,2;163,2
865,0;163,2;163,2
866,0;162,4;162,4
867,0;162,4;162,4
868,0;162,8;162,8
869,0;162,8;162,8
870,0;162,1;162,1
871,0;162,1;162,1
872,0;162,1;162,1
873,0;162,1;162,1
874,0;162,1;162,1
