t;T;T
[s];[°C];[°C]
;;
745;171,1;171,1
746;171;171
747;171;171
748;170,7;170,7
749;170,7;170,7
750;170,3;170,3
751;170,3;170,3
752;170;170
753;170;170
754;170;170
755;170;170
756;169,2;169,2
757;169,2;169,2
758;169,2;169,2
759;169,2;169,2
760;169,2;169,2
761;169,2;169,2
762;169,2;169,2
763;169,2;169,2
764;169,2;169,2
765;169,2;169,2
766;168,9;168,9
767;168,9;168,9
768;168,5;168,5
769;168,5;168,5
770;168,1;168,1
771;168,1;168,1
772;167,8;167,8
773;167,8;167,8
774;167,8;167,8
775;167,8;167,8
776;167,8;167,8
777;167,8;167,8
778;167,4;167,4
779;167,4;167,4
780;167,4;167,4
781;167,4;167,4
782;167,1;167,1
783;167,1;167,1
784;166,7;166,7
785;166,7;166,7
786;166,3;166,3
787;166,3;166,3
788;166,3;166,3
789;166,3;166,3
790;166;166
791;166;166
792;165,6;165,6
793;165,6;165,6
794;165,6;165,6
795;165,6;165,6
796;165,6;165,6
797;165,6;165,6
798;165,3;165,3
799;165,3;165,3
800;164,9;164,9
801;164,9;164,9
802;164,6;164,6
803;164,6;164,6
804;164,2;164,2
805;164,2;164,2
806;164,2;164,2
807;164,2;164,2
808;164,2;164,2
809;164,2;164,2
810;163,8;163,8
811;163,8;163,8
812;163,8;163,8
813;163,8;163,8
814;163,5;163,5
815;163,5;163,5
816;163,1;163,1
817;163,1;163,1
818;162,8;162,8
819;162,8;162,8
820;162,8;162,8
821;162,8;162,8
822;162,4;162,4
823;162,4;162,4
824;162,4;162,4
825;162,4;162,4
826;162;162
827;162;162
828;162;162
829;162;162
830;162;162
831;162;162
832;162;162
833;162;162
834;161,7;161,7
835;161,7;161,7
836;161,7;161,7
837;161,7;161,7
838;161;161
839;161;161
840;161;161
841;161;161
842;160,6;160,6
843;160,6;160,6
844;160,6;160,6
845;160,6;160,6
846;160,6;160,6
847;160,6;160,6
848;160,2;160,2
849;160,2;160,2
850;160,2;160,2
851;160,2;160,2
852;160,2;160,2
853;160,2;160,2
854;159,5;159,5
855;159,5;159,5
856;159,5;159,5
857;159,5;159,5
858;159,2;159,2
859;159,2;159,2
860;159,2;159,2
861;159,2;159,2
862;158,8;158,8
863;158,8;158,8
864;158,8;158,8
865;158,8;158,8
866;158,4;158,4
867;158,4;158,4
868;158,4;158,4
869;158,4;158,4
870;157,7;157,7
871;157,7;157,7
872;157,7;157,7
873;157,7;157,7
874;157,4;157,4
875;157,4;157,4
876;157,4;157,4
877;157,4;157,4
878;157;157
879;157;157
880;156,6;156,6
881;156,6;156,6
882;156,6;156,6
883;156,6;156,6
884;157;157
885;157;157
886;156,3;156,3
887;156,3;156,3
888;156,6;156,6
889;156,6;156,6
890;156,3;156,3
891;156,3;156,3
892;155,6;155,6
893;155,6;155,6
894;155,6;155,6
895;155,6;155,6
896;155,6;155,6
897;155,6;155,6
898;155,2;155,2
899;155,2;155,2
900;154,9;154,9
901;154,9;154,9
902;154,9;154,9
903;154,9;154,9
904;154,9;154,9
905;154,9;154,9
906;154,5;154,5
907;154,5;154,5
908;154,5;154,5
909;154,5;154,5
910;154,1;154,1
911;154,1;154,1
912;153,8;153,8
913;153,8;153,8
914;153,4;153,4
915;153,4;153,4
916;153,4;153,4
917;153,4;153,4
918;153,4;153,4
919;153,4;153,4
920;153,1;153,1
921;153,1;153,1
922;152,7;152,7
923;152,7;152,7
924;152,7;152,7
925;152,7;152,7
926;152,3;152,3
927;152,3;152,3
928;152,3;152,3
929;152,3;152,3
930;152,3;152,3
931;152,3;152,3
932;151,6;151,6
933;151,6;151,6
934;151,3;151,3
935;151,3;151,3
936;151,6;151,6
937;151,6;151,6
938;151,3;151,3
939;151,3;151,3
940;151,3;151,3
941;151,3;151,3
942;150,9;150,9
943;150,9;150,9
944;150,9;150,9
945;150,9;150,9
946;150,5;150,5
947;150,5;150,5
948;150,5;150,5
949;150,5;150,5
950;150,2;150,2
951;150,2;150,2
952;150,2;150,2
953;150,2;150,2
954;149,8;149,8
955;149,8;149,8
956;149,5;149,5
957;149,5;149,5
958;149,5;149,5
959;149,5;149,5
960;149,5;149,5
961;149,5;149,5
962;149,1;149,1
963;149,1;149,1
964;148,8;148,8
965;148,8;148,8
966;149,1;149,1
967;149,1;149,1
968;148,4;148,4
969;148,4;148,4
970;148,4;148,4
971;148,4;148,4
972;148,4;148,4
973;148,4;148,4
974;147,7;147,7
975;147,7;147,7
976;147,7;147,7
977;147,7;147,7
978;147,7;147,7
979;147,7;147,7
980;147,7;147,7
981;147,7;147,7
982;147,7;147,7
983;147,7;147,7
984;147,3;147,3
985;147,3;147,3
986;147,3;147,3
987;147,3;147,3
988;147;147
989;147;147
990;147,3;147,3
991;147,3;147,3
992;146,6;146,6
993;146,6;146,6
994;146,3;146,3
995;146,3;146,3
996;146,3;146,3
997;146,3;146,3
998;146,3;146,3
999;146,3;146,3
1000;146,3;146,3
1001;146,3;146,3
1002;145,9;145,9
1003;145,9;145,9
1004;145,9;145,9
1005;145,9;145,9
1006;145,5;145,5
1007;145,5;145,5
1008;145,6;145,6
1009;145,6;145,6
1010;145,2;145,2
1011;145,2;145,2
1012;144,9;144,9
1013;144,9;144,9
1014;144,8;144,8
1015;144,8;144,8
1016;144,8;144,8
1017;144,8;144,8
1018;144,5;144,5
1019;144,5;144,5
1020;144,1;144,1
1021;144,1;144,1
1022;144,1;144,1
1023;144,1;144,1
1024;144,1;144,1
1025;144,1;144,1
1026;143,8;143,8
1027;143,8;143,8
1028;143,8;143,8
1029;143,8;143,8
1030;143,8;143,8
1031;143,8;143,8
1032;143,8;143,8
1033;143,8;143,8
1034;143,1;143,1
1035;143,1;143,1
1036;142,7;142,7
1037;142,7;142,7
1038;142,7;142,7
1039;142,7;142,7
1040;142,7;142,7
1041;142,7;142,7
1042;142,4;142,4
1043;142,4;142,4
1044;142,4;142,4
1045;142,4;142,4
1046;142;142
1047;142;142
1048;142,3;142,3
1049;142,3;142,3
1050;141,3;141,3
1051;141,3;141,3
1052;141,7;141,7
1053;141,7;141,7
1054;141,3;141,3
1055;141,3;141,3
1056;140,9;140,9
1057;140,9;140,9
1058;141,3;141,3
1059;141,3;141,3
1060;140,6;140,6
1061;140,6;140,6
1062;140,6;140,6
1063;140,6;140,6
1064;140,6;140,6
1065;140,6;140,6
1066;140,6;140,6
1067;140,6;140,6
1068;140,2;140,2
1069;140,2;140,2
1070;140,2;140,2
1071;140,2;140,2
1072;140,2;140,2
1073;140,2;140,2
1074;139,5;139,5
1075;139,5;139,5
1076;139,5;139,5
1077;139,5;139,5
1078;139,5;139,5
1079;139,5;139,5
1080;139,5;139,5
1081;139,5;139,5
1082;139,2;139,2
1083;139,2;139,2
1084;138,8;138,8
1085;138,8;138,8
1086;138,8;138,8
1087;138,8;138,8
1088;138,8;138,8
1089;138,8;138,8
1090;138,4;138,4
1091;138,4;138,4
1092;138,4;138,4
1093;138,4;138,4
1094;138,4;138,4
1095;138,4;138,4
1096;138,4;138,4
1097;138,4;138,4
1098;137,7;137,7
1099;137,7;137,7
1100;138,4;138,4
1101;138,4;138,4
1102;137,7;137,7
1103;137,7;137,7
1104;137,4;137,4
1105;137,4;137,4
1106;137;137
1107;137;137
1108;137,4;137,4
1109;137,4;137,4
1110;136,7;136,7
1111;136,7;136,7
1112;136,7;136,7
1113;136,7;136,7
1114;136,7;136,7
1115;136,7;136,7
1116;136,7;136,7
1117;136,7;136,7
1118;136;136
1119;136;136
1120;136;136
1121;136;136
1122;136;136
1123;136;136
1124;135,6;135,6
1125;135,6;135,6
1126;135,2;135,2
1127;135,2;135,2
1128;136;136
1129;136;136
1130;135,2;135,2
1131;135,2;135,2
1132;135,2;135,2
1133;135,2;135,2
1134;134,9;134,9
1135;134,9;134,9
1136;134,9;134,9
