t;T
[s];[°C]

780,0;105,2
781,0;105,2
782,0;104,8
783,0;105,2
784,0;104,5
785,0;104,5
786,0;104,1
787,0;104,9
788,0;104,1
789,0;104,1
790,0;103,8
791,0;103,8
792,0;103,8
793,0;103,8
794,0;103,5
795,0;103,4
796,0;103,4
797,0;103,1
798,0;102,7
799,0;102,7
800,0;102,7
801,0;102,7
802,0;102,4
803,0;102,4
804,0;102,4
805,0;102,1
806,0;102,1
807,0;102,1
808,0;101,7
809,0;101,7
810,0;101,7
811,0;101,3
812,0;101,7
813,0;101,3
814,0;101,0
815,0;101,0
816,0;101,0
817,0;101,0
818,0;100,6
819,0;100,6
820,0;100,3
821,0;100,3
822,0;100,3
823,0;100,3
824,0;99,9
825,0;99,6
826,0;99,9
827,0;99,6
828,0;99,6
829,0;99,3
830,0;99,6
831,0;99,3
832,0;99,3
833,0;99,3
834,0;98,9
835,0;98,9
836,0;98,9
837,0;98,6
838,0;98,6
839,0;98,6
840,0;98,2
841,0;98,2
842,0;98,2
843,0;98,2
844,0;97,9
845,0;98,2
846,0;97,5
847,0;97,5
848,0;97,5
849,0;97,5
850,0;97,2
851,0;97,2
852,0;97,2
853,0;97,2
854,0;96,8
